experiment_id,variant_id,seed,cumulative_payoff,mean_payoff,early_exploitation_rate,betrayal_recovery_time,post_betrayal_p0_selection_rate,post_betrayal_p0_high_investment_rate,selection_gini,entropy_early,entropy_mid,entropy_late,beta_range,trust_approach_latency,trust_withdrawal_latency,trust_asymmetry
open_graded,cautious_high_alpha,4211,2244.0,11.22,0.26666666666666666,51.0,,,0.61,6.87880002991864,4.2912168173297225,4.7172281157089335,0.6106246694765255,1.0,3.0,3.0
open_graded,cautious_high_alpha,4212,1776.0,8.88,0.03333333333333333,5.0,,,0.265,7.937429371215829,6.9967766412506895,7.351674031082777,0.9700131600447731,3.0,1.0,0.3333333333333333
open_graded,cautious_high_alpha,4213,2288.5,11.4425,0.06666666666666667,4.0,,,0.52,6.596959603172329,4.072823301687413,4.540713950913059,0.6095006783426713,1.0,4.0,4.0
open_graded,cautious_high_alpha,4214,2351.5,11.7575,0.0,23.0,,,0.7125,5.154857378892494,3.989692974861949,4.163860766527788,0.5287900388256357,2.0,1.0,0.5
open_graded,cautious_high_alpha,4215,2310.5,11.5525,0.06666666666666667,4.0,,,0.6375,6.456341403339363,3.99242331516154,4.425241726748706,0.5333991551797772,1.0,2.0,2.0
open_graded,cautious_high_alpha,4216,2330.0,11.65,0.0,4.0,,,0.675,5.755136284226882,4.143292863276111,4.00647119771215,0.5052081489602329,1.0,1.0,1.0
open_graded,cautious_high_alpha,4217,2312.5,11.5625,0.3,4.0,,,0.6175,7.320214095406604,4.004747417651357,3.6331327393219675,0.6183023956289487,1.0,3.0,3.0
open_graded,cautious_high_alpha,4218,2319.0,11.595,0.06666666666666667,4.0,,,0.685,6.047837000294919,4.158101477033569,3.789654158226642,0.548396417585397,1.0,1.0,1.0
open_graded,cautious_high_alpha,4219,2400.5,12.0025,0.0,4.0,,,0.735,4.153853498335372,4.133842653917118,3.5334232144356634,0.28436083698720205,1.0,73.0,73.0
open_graded,cautious_low_alpha,4200,2316.0,11.58,0.0,4.0,,,0.6975,7.152938940737763,6.046430035128276,6.143856065638233,0.23423468842472414,1.0,5.0,5.0
open_graded,cautious_low_alpha,4201,2201.5,11.0075,0.0,4.0,,,0.63,8.08734284377681,6.481009280398385,6.232459197601492,0.2913307816993525,1.0,1.0,1.0
open_graded,cautious_low_alpha,4202,2243.5,11.2175,0.03333333333333333,4.0,,,0.71,7.295857260646509,6.350349160955038,6.070565894989207,0.2272769082159089,1.0,2.0,2.0
open_graded,cautious_low_alpha,4203,1785.5,8.9275,0.06666666666666667,25.0,,,0.5125,8.07613057420159,7.700270647572962,7.859077932428753,0.27891533331386337,2.0,1.0,0.5
open_graded,cautious_low_alpha,4204,2209.5,11.0475,0.06666666666666667,49.0,,,0.6025,7.44011259770301,6.671441451963739,7.355110185112282,0.29920774616742024,1.0,5.0,5.0
